# J_som factors for dwarves in madhat
ID	J	dJ+	dJ-
1	22.67457698237489	0.4867503936957469	0.4358655112366563
2	22.737572822503797	0.2493011065535562	0.2300675128641103
5	21.796282481937457	0.12901836436138936	0.12097134544993082
6	22.186608161712197	0.3419770659216965	0.33120159921883996
8	22.30898508694951	0.10448332350806311	0.08854267297280671
9	23.007542278487136	0.4194858717111707	0.4151545498161262
14	23.53039775286829	0.3007735333384467	0.28392030006697055
20	22.418176444140208	0.10035922091854133	0.10200631023134932
23	21.952752653468806	0.3985584438050509	0.4008648222520286
24	23.55958570234191	0.584003506647889	0.5160031478313485
31	21.884214660441458	0.09923851244846915	0.08923242804984355
32	22.0965801651948	0.16376818305189644	0.147140403018021
41	23.623816960459973	0.33275413432949463	0.3097549776724904
45	22.9372815611728	0.05991939189321016	0.04715196149134826
46	23.861985763288043	0.4036494717998522	0.4658249189027224
48	22.26888264970548	0.10305708103178546	0.0886611368225303
50	23.296193096849976	0.42194583528782204	0.39573928171219563
54	22.67938187335479	0.2271359002420894	0.22144189378156298
55	23.928257516753494	0.33831970088000674	0.3180949055180555
56	23.12484469647653	0.11984467550583844	0.11610293863846266
15	20.406488667617385	0.1959470547427884	0.1793116757814026
27	23.412885624761447	0.2927398034951594	0.25856571311512155
44	22.09398443890072	1.1603617952789875	0.6970018188155009
